№ ;Название режима;Мощность (P), Вт;Скорость (V), мм/с;Толщина слоя (t), мкм;Расстояние между треками (h), мкм;Стратегия сканирования;Плотность энергии*, Дж/мм³;Примечание;Плотность (взвешивание), г/см3;Плотность (металлографический метод на шлифе), %
1;C1;200;800;50;100;Шахматная;50.0;Базовый режим;5,16912166;99,08
2;C2;150;800;50;100;Шахматная;37.5;Пониженная мощность;5,092667183;96,77
3;C3;250;800;50;100;Шахматная;62.5;Повышенная мощность;5,168091167;99,18
4;C4;200;600;50;100;Шахматная;66.7;Пониженная скорость;5,121657793;97,66
5;C5;200;1000;50;100;Шахматная;40.0;Повышенная скорость;5,13910282;99,14
6;C6;250;600;50;100;Шахматная;83.3;Высокая плотность энергии;5,094040385;96,92
7;C7;150;1000;50;100;Шахматная;30.0;Низкая плотность энергии;5,031586198;95,35
8;C8;200;500;50;100;Шахматная;80.0;Очень низкая скорость;5,101272416;96,54
9;L1;200;1000;50;100;Линейная;40;;5,181959;99,86
10;L2;200;1000;50;100;Линейная;40;Двойное сканирование;5,151852;99,85
11;L3;200;800;50;80;Линейная;62,5;1+уменьшенный hatch;5,140155;99,79
12;L4;250;800;50;80;Линейная;78,1;3+уменьшенный hatch;5,162899;99,67
13;L5;200;1000;50;80;Линейная;50;5+уменьшенный hatch;5,18;99,51
