TiNbZrCu_9	
2θ, °	Intensity, counts
30	4314.946
30.02	4368
30.04	4329.99
30.06	4326.726
30.08	4288.736
30.1	4296.217
30.12	4371.764
30.14	4349.49
30.16	4273.735
30.18	4186.798
30.2	4273.476
30.22	4342.636
30.24	4249.685
30.26	4255.509
30.28	4222.138
30.3	4268.316
30.32	4335.506
30.34	4265.306
30.36	4356.788
30.38	4224.968
30.4	4160.553
30.42	4205.363
30.44	4215.555
30.46	4275.505
30.48	4253.388
30.5	4082.737
30.52	4199.886
30.54	4182.088
30.56	4302.421
30.58	4115.546
30.6	4142.253
30.62	4152.178
30.64	4126.575
30.66	4237.33
30.68	4160.131
30.7	4224.296
30.72	4229.982
30.74	4190.498
30.76	4291.275
30.78	4215.083
30.8	4220.081
30.82	4128.895
30.84	4093.962
30.86	4101.436
30.88	4042.287
30.9	4087.702
30.92	4127.851
30.94	4122.464
30.96	4156.234
30.98	4210.489
31	4279.955
31.02	4116.149
31.04	4118.531
31.06	4118.206
31.08	4253.438
31.1	4237.869
31.12	4202.318
31.14	4123.001
31.16	4297.112
31.18	4199.688
31.2	4167.276
31.22	4271.723
31.24	4270.904
31.26	4260.167
31.28	4163.889
31.3	4236.501
31.32	4223.568
31.34	4216.417
31.36	4291.197
31.38	4266.853
31.4	4151.259
31.42	4250.039
31.44	4206.976
31.46	4114.978
31.48	4223.833
31.5	4231.665
31.52	4220.711
31.54	4138.409
31.56	4061.825
31.58	4056.257
31.6	3985.531
31.62	4020.169
31.64	4003.433
31.66	4078.013
31.68	3958.025
31.7	3965.568
31.72	4024.955
31.74	3807.672
31.76	3906.485
31.78	3740.457
31.8	3783.628
31.82	3901.97
31.84	3957.099
31.86	3877.143
31.88	3765.641
31.9	3803.878
31.92	3847.604
31.94	3736.63
31.96	3748.1
31.98	3816.565
32	3832.317
32.02	3792.238
32.04	3833.353
32.06	3698.421
32.08	3841.917
32.1	3732.999
32.12	3867.632
32.14	3828.169
32.16	3717.026
32.18	3702.405
32.2	3713.411
32.22	3804.501
32.24	3684.98
32.26	3749.941
32.28	3648.906
32.3	3756.055
32.32	3801.299
32.34	3802.029
32.36	3621.672
32.38	3661.352
32.4	3681.518
32.42	3725.293
32.44	3655.2
32.46	3585.496
32.48	3573.058
32.5	3589.297
32.52	3579.49
32.54	3606.717
32.56	3598.906
32.58	3554.93
32.6	3491.794
32.62	3644.197
32.64	3695.164
32.66	3478.041
32.68	3602.686
32.7	3463.843
32.72	3505.438
32.74	3529.062
32.76	3581.085
32.78	3562.121
32.8	3597.61
32.82	3613.851
32.84	3612.251
32.86	3465.979
32.88	3501.901
32.9	3537.442
32.92	3550.287
32.94	3509.922
32.96	3572.526
32.98	3519.321
33	3691.267
33.02	3510.263
33.04	3485.627
33.06	3443.911
33.08	3419.895
33.1	3496.461
33.12	3416.749
33.14	3379.131
33.16	3412.26
33.18	3458.898
33.2	3444.621
33.22	3491.698
33.24	3365.357
33.26	3398.99
33.28	3452.515
33.3	3434.021
33.32	3454.636
33.34	3402.659
33.36	3456.756
33.38	3462.418
33.4	3402.077
33.42	3254.968
33.44	3459.064
33.46	3490.167
33.48	3282.88
33.5	3358.072
33.52	3363.557
33.54	3481.401
33.56	3371.709
33.58	3506.278
33.6	3363.376
33.62	3399.786
33.64	3342.668
33.66	3351.314
33.68	3331.776
33.7	3444.081
33.72	3286.193
33.74	3291.899
33.76	3272.128
33.78	3237.373
33.8	3212.083
33.82	3351.958
33.84	3358.593
33.86	3237.336
33.88	3262.671
33.9	3241.842
33.92	3255.517
33.94	3334.125
33.96	3273.018
33.98	3238.605
34	3289.57
34.02	3302.178
34.04	3226.251
34.06	3287.499
34.08	3114.456
34.1	3183.718
34.12	3225.113
34.14	3219.143
34.16	3267.271
34.18	3178.673
34.2	3135.269
34.22	3160.475
34.24	3201.359
34.26	3134.549
34.28	3188.774
34.3	3209.245
34.32	3194.275
34.34	3148.001
34.36	3093.513
34.38	3221.63
34.4	3187.864
34.42	3011.731
34.44	3184.931
34.46	3133.748
34.48	3115.676
34.5	3095.325
34.52	3091.025
34.54	3132.09
34.56	3074.171
34.58	3118.65
34.6	3070.568
34.62	3121.649
34.64	3186.549
34.66	3180.133
34.68	3112.028
34.7	3114.132
34.72	3120.334
34.74	3262.608
34.76	3144.578
34.78	3252.531
34.8	3136.533
34.82	3115.628
34.84	3110.226
34.86	3072.337
34.88	3097.433
34.9	3039.615
34.92	3086.404
34.94	3116.222
34.96	3064.061
34.98	3003.188
35	3031.482
35.02	3036.117
35.04	3033.604
35.06	3064.99
35.08	3012.145
35.1	2951.591
35.12	3032.484
35.14	2996.922
35.16	2978.315
35.18	3018.514
35.2	2961.022
35.22	2989.907
35.24	3019.533
35.26	2913.344
35.28	2911.898
35.3	2967.317
35.32	3000.81
35.34	3042.386
35.36	2955.488
35.38	2924.152
35.4	2940.274
35.42	2897.653
35.44	2930.675
35.46	2864.056
35.48	2897.443
35.5	2965.456
35.52	2956.778
35.54	2978.279
35.56	2925.739
35.58	2899.817
35.6	2986.734
35.62	2944.04
35.64	2901.363
35.66	2892.983
35.68	2868.12
35.7	2940.016
35.72	2872.689
35.74	2986.324
35.76	2951.686
35.78	2954.819
35.8	2875.351
35.82	2954.763
35.84	2862.677
35.86	2888.518
35.88	3015.696
35.9	2955.392
35.92	2897.471
35.94	2861.42
35.96	2845.12
35.98	2819.573
36	2879.812
36.02	2882.648
36.04	2926.291
36.06	2862.15
36.08	2834.846
36.1	2725.122
36.12	2828.72
36.14	2726.912
36.16	2784.275
36.18	2725.412
36.2	2725.956
36.22	2765.573
36.24	2712.322
36.26	2821.694
36.28	2824.46
36.3	2773.854
36.32	2764.783
36.34	2807.989
36.36	2815.529
36.38	2888.366
36.4	2824.421
36.42	2705.779
36.44	2719.736
36.46	2701.006
36.48	2861.214
36.5	2790.758
36.52	2693.781
36.54	2732.292
36.56	2649.827
36.58	2796.226
36.6	2742.655
36.62	2711.005
36.64	2794.696
36.66	2724.839
